eventID,site,habitatType,minimumElevationInMeters,samplingProtocol,samplingEffort,sampleSizeValue,sampleSizeUnit,eventDate,eventTime,startDayOfYear,eventRemarks,country,countryCode,locality,locationID,decimalLatitude,decimalLongitude,geodeticDatum,occurrenceID,basisOfRecord,occurrenceStatus,vernacularName,scientificName,kingdom,phylum,class,order,family,taxonRank
Transect_Site4_Sp8,North,Bracken/Broadleaf,68,Transect,,,metre,09/12/2024,14:32,256,,Scotland,GB- SCT,Lochranza,,55.70122222,-5.27011111,WGS84,Transect_Site4_Sp8_Parus_major,HumanObservation,present,Great Tit,Parus major,Animalia,Chordata,Aves,Passeriformes,Paridae,species
Transect_Site4_Sp9,North,Bracken/Broadleaf,68,Transect,,,metre,09/12/2024,14:32,256,,Scotland,GB- SCT,Lochranza,,55.70122222,-5.27011111,WGS84,Transect_Site4_Sp9_Fringilla_coelebs,HumanObservation,present,Common Chaffinch,Fringilla coelebs,Animalia,Chordata,Aves,Passeriformes,Fringillidae,species
Transect_Site4_Sp10,North,Bracken/Broadleaf,68,Transect,,,metre,09/12/2024,14:32,256,,Scotland,GB- SCT,Lochranza,,55.70122222,-5.27011111,WGS84,Transect_Site4_Sp10_Turdus_viscivorus,HumanObservation,present,Mistle Thrush,Turdus viscivorus,Animalia,Chordata,Aves,Passeriformes,Turdidae,species
Transect_Site4_Sp11,North,Bracken/Broadleaf,68,Transect,,,metre,09/12/2024,14:32,256,,Scotland,GB- SCT,Lochranza,,55.70122222,-5.27011111,WGS84,Transect_Site4_Sp11_Motacilla_alba,HumanObservation,present,Pied Wagtail,Motacilla alba,Animalia,Chordata,Aves,Passeriformes,Motacillidae,species
Transect_Site4_Sp12,North,Bracken/Broadleaf,68,Transect,,,metre,09/12/2024,14:32,256,,Scotland,GB- SCT,Lochranza,,55.70122222,-5.27011111,WGS84,Transect_Site4_Sp12_Spinus_spinus,HumanObservation,present,Eurasian Siskin,Spinus spinus,Animalia,Chordata,Aves,Passeriformes,Fringillidae,species
Transect_Site5_Sp1,North,Bracken/Grassland,144,Transect,,,metre,09/12/2024,13:04,256,,Scotland,GB- SCT,Lochranza,,55.70825,-5.28008333,WGS84,Transect_Site5_Sp1_Cervus_elaphus,HumanObservation,present,Red Deer,Cervus elaphus,Animalia,Chordata,Mammalia,Artiodactyla,Cervidae,species
Transect_Site5_Sp2,North,Bracken/Grassland,144,Transect,,,metre,09/12/2024,13:04,256,,Scotland,GB- SCT,Lochranza,,55.70825,-5.28008333,WGS84,Transect_Site5_Sp2_Anthus_pratensis,HumanObservation,present,Meadow Pipit,Anthus pratensis,Animalia,Chordata,Aves,Passeriformes,Motacillidae,species
Transect_Site5_Sp3,North,Bracken/Grassland,144,Transect,,,metre,09/12/2024,13:04,256,,Scotland,GB- SCT,Lochranza,,55.70825,-5.28008333,WGS84,Transect_Site5_Sp3_Corvus_corone,HumanObservation,present,Carrion Crow,Corvus corone,Animalia,Chordata,Aves,Passeriformes,Corvidae,species
Transect_Site5_Sp4,North,Bracken/Grassland,144,Transect,,,metre,09/12/2024,13:04,256,,Scotland,GB- SCT,Lochranza,,55.70825,-5.28008333,WGS84,Transect_Site5_Sp4_Falco_tinnunculus,HumanObservation,present,Common Kestrel,Falco tinnunculus,Animalia,Chordata,Aves,Falconiformes,Falconidae,species
Transect_Site5_Sp5,North,Bracken/Grassland,144,Transect,,,metre,09/12/2024,13:04,256,,Scotland,GB- SCT,Lochranza,,55.70825,-5.28008333,WGS84,Transect_Site5_Sp5_Delichon_urbicum,HumanObservation,present,Western House Martin,Delichon urbicum,Animalia,Chordata,Aves,Passeriformes,Hirundinidae,species
Transect_Site5_Sp6,North,Bracken/Grassland,144,Transect,,,metre,09/12/2024,13:04,256,,Scotland,GB- SCT,Lochranza,,55.70825,-5.28008333,WGS84,Transect_Site5_Sp6_Columba_palumbus,HumanObservation,present,Common Woodpigeon,Columba palumbus,Animalia,Chordata,Aves,Columbiformes,Columbidae,species
Transect_Site5_Sp7,North,Bracken/Grassland,144,Transect,,,metre,09/12/2024,13:04,256,,Scotland,GB- SCT,Lochranza,,55.70825,-5.28008333,WGS84,Transect_Site5_Sp7_Apus_apus,HumanObservation,present,Common Swift,Apus apus,Animalia,Chordata,Aves,Apodiformes,Apodidae,species
Transect_Site5_Sp8,North,Bracken/Grassland,144,Transect,,,metre,09/12/2024,13:04,256,,Scotland,GB- SCT,Lochranza,,55.70825,-5.28008333,WGS84,Transect_Site5_Sp8_Fringilla_coelebs,HumanObservation,present,Common Chaffinch,Fringilla coelebs,Animalia,Chordata,Aves,Passeriformes,Fringillidae,species
Transect_Site6_Sp1,North,Heath,225,Transect,,,metre,09/12/2024,11:15,256,,Scotland,GB- SCT,Lochranza,,55.70519444,-5.27266667,WGS84,Transect_Site6_Sp1_Anthus_pratensis,HumanObservation,present,Meadow Pipit,Anthus pratensis,Animalia,Chordata,Aves,Passeriformes,Motacillidae,species
Transect_Site6_Sp2,North,Heath,225,Transect,,,metre,09/12/2024,11:15,256,,Scotland,GB- SCT,Lochranza,,55.70519444,-5.27266667,WGS84,Transect_Site6_Sp2_Aquila_chrysaetos,HumanObservation,present,Golden Eagle,Aquila chrysaetos,Animalia,Chordata,Aves,Accipitriformes,Accipitridae,species
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
